epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,834.932,2.23453,2.56088,2.90331,0.33352,0.46154,0.34474,0.16114,1.94465,3.93189,2.59653,0.000614,0.000614,0.000614
72,846.25,2.01328,2.13898,2.72546,0.37307,0.53846,0.40008,0.19376,1.94949,3.5937,2.60742,0.0005942,0.0005942,0.0005942
73,857.395,2.36227,2.6399,3.1243,0.37307,0.53846,0.40008,0.19376,1.94949,3.5937,2.60742,0.0005744,0.0005744,0.0005744
74,868.524,2.133,2.5124,2.97102,0.4172,0.52308,0.44355,0.21516,1.94913,3.41957,2.62104,0.0005546,0.0005546,0.0005546
75,880.012,1.43031,4.93999,1.90494,0.45205,0.47692,0.41936,0.20291,1.91709,3.11687,2.62837,0.0005348,0.0005348,0.0005348
76,892.195,2.61822,2.45729,3.19215,0.40809,0.43077,0.38673,0.179,1.87295,3.15484,2.64057,0.000515,0.000515,0.000515
77,903.742,2.05987,2.30574,2.64627,0.40809,0.43077,0.38673,0.179,1.87295,3.15484,2.64057,0.0004952,0.0004952,0.0004952
78,915.002,2.62099,2.75555,3.17717,0.48801,0.36923,0.37666,0.18457,1.84659,2.92097,2.63584,0.0004754,0.0004754,0.0004754
79,926.274,2.24008,2.32275,2.81473,0.3817,0.50769,0.42417,0.21919,1.79115,2.61056,2.58554,0.0004556,0.0004556,0.0004556
80,937.365,2.43752,2.4206,2.6918,0.46221,0.50769,0.48899,0.2608,1.75339,2.28004,2.53045,0.0004358,0.0004358,0.0004358
81,948.633,2.05001,2.21763,2.79498,0.46221,0.50769,0.48899,0.2608,1.75339,2.28004,2.53045,0.000416,0.000416,0.000416
82,959.834,2.21305,2.44611,3.02215,0.51407,0.47204,0.54662,0.29573,1.78442,2.05133,2.52559,0.0003962,0.0003962,0.0003962
83,971.047,2.38882,2.48979,2.88856,0.50546,0.53846,0.53819,0.28699,1.78545,2.02852,2.51615,0.0003764,0.0003764,0.0003764
84,982.202,2.32316,2.3927,2.80191,0.47831,0.53846,0.49552,0.26561,1.77668,2.21909,2.51814,0.0003566,0.0003566,0.0003566
85,993.32,2.3722,2.25047,2.91462,0.47831,0.53846,0.49552,0.26561,1.77668,2.21909,2.51814,0.0003368,0.0003368,0.0003368
86,1004.47,2.29437,2.79874,2.98605,0.44419,0.52308,0.43044,0.22014,1.7837,2.52398,2.53765,0.000317,0.000317,0.000317
87,1016.86,1.95033,2.33742,2.70595,0.46255,0.51643,0.44183,0.22881,1.78263,2.54039,2.52799,0.0002972,0.0002972,0.0002972
88,1028.4,2.16804,2.32807,2.73836,0.40074,0.56923,0.42415,0.21671,1.78994,2.47505,2.52866,0.0002774,0.0002774,0.0002774
